Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABD_smooth,angle_smooth,dmotor,cycle
77300,1,Flex,>>,1473,137.32,490,424,650,42.94719083026621,143.808,-3.3400000000000034,2
77412,1,Flex,>>,1434,134.24,488,428,654,42.17002534183875,140.554,-3.2539999999999907,2
77523,1,Flex,>>,1395,130.99,487,429,659,40.79156692542184,137.33599999999998,-3.2180000000000177,2
77636,1,Flex,>>,1356,127.65,495,435,663,39.76204061737394,134.13600000000002,-3.19999999999996,2
77747,1,Flex,>>,1317,124.4,495,441,665,38.97509942979267,130.92000000000002,-3.216000000000008,2
77858,1,Flex,>>,1278,121.23,500,449,673,38.10978434721712,127.70200000000003,-3.2179999999999893,2
77969,1,Flex,>>,1239,118.24,504,457,683,37.454761227271824,124.502,-3.2000000000000313,2
78080,1,Flex,>>,1200,114.99,507,465,686,36.93994068851594,121.30199999999999,-3.200000000000003,2
78190,1,Flex,>>,1161,112.18,509,472,691,36.55465771768485,118.208,-3.093999999999994,2
78302,1,Flex,>>,1122,108.92,510,479,697,36.096165181847226,115.11200000000001,-3.0959999999999894,2
78413,1,Flex,>>,1083,105.58,516,483,702,35.596091550491266,111.982,-3.1300000000000097,2
78524,1,Flex,>>,1044,102.15,531,494,713,35.10322921284892,108.76400000000001,-3.2179999999999893,2
78636,1,Flex,>>,1005,98.64,536,495,715,34.68897827581237,105.494,-3.2700000000000102,2
78746,1,Flex,>>,966,95.38,539,500,719,34.31345685554597,102.13399999999999,-3.3600000000000136,2
78857,1,Flex,>>,927,92.22,536,506,725,33.95887281356929,98.79400000000001,-3.339999999999975,2
78969,1,Flex,>>,888,89.05,548,512,728,33.603886901082184,95.488,-3.3060000000000116,2
79079,1,Flex,>>,849,85.63,555,525,741,33.28067215112765,92.184,-3.304000000000002,2
79191,1,Flex,>>,810,82.02,566,522,746,32.87108366563022,88.85999999999999,-3.3240000000000123,2
79302,1,Flex,>>,771,78.59,573,526,746,32.8062062082653,85.502,-3.35799999999999,2
