Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2,∠ABC_smooth,∠BCD_smooth,θ_total,L_est_cm,theta_from_R(compose),phase_used
65176,4,Extend,<<,-827,-78.24,375,279,366,8.204377528724834,-4.237911874425519,3.9664656542993146,-3.388351302966934,51.67862933260966,Extend
65191,5,Extend,<<,-2039,-184.53,375,278,365,7.81730408542869,-4.56822298432609,3.2490811011025995,-3.405535172893251,51.44669931250127,Extend
65205,6,Extend,<<,-1395,-127.74,373,278,365,7.81730408542869,-4.56822298432609,3.2490811011025995,-3.405535172893251,51.44669931250127,Extend
65286,4,Extend,<<,-782,-74.2,375,279,361,6.556676297501037,-5.647531314980242,0.9091449825207949,-3.474412927666678,50.49629429818226,Extend
65300,5,Extend,<<,-1995,-180.57,376,279,365,6.556676297501037,-5.647531314980242,0.9091449825207949,-3.405535172893251,51.44669931250127,Extend
65315,6,Extend,<<,-1347,-123.43,374,278,361,6.1781908568965935,-5.8603690479444905,0.317821808952103,-3.474412927666678,50.49629429818226,Extend
65395,4,Extend,<<,-737,-70.42,376,280,364,5.542907229046242,-6.665264237588275,-1.122357008542033,-3.4227332703263835,51.21250594389575,Extend
65410,5,Extend,<<,-1951,-176.79,376,279,364,5.172885753407488,-6.953886002452814,-1.7810002490453254,-3.4227332703263835,51.21250594389575,Extend
65425,6,Extend,<<,-1299,-119.3,376,281,365,5.172885753407488,-6.953886002452814,-1.7810002490453254,-3.405535172893251,51.44669931250127,Extend
65505,4,Extend,<<,-692,-66.29,377,281,364,4.4571604843883925,-7.631460242160039,-3.1742997577716467,-3.4227332703263835,51.21250594389575,Extend
65520,5,Extend,<<,-1907,-172.92,375,280,362,4.089675426962153,-7.92423210066641,-3.834556673704257,-3.457172147713097,50.737308585882126,Extend
65534,6,Extend,<<,-1251,-115.16,377,280,364,4.089675426962153,-7.92423210066641,-3.834556673704257,-3.4227332703263835,51.21250594389575,Extend
65615,4,Extend,<<,-647,-62.33,379,282,365,2.868507515445223,-8.571127072739507,-5.702619557294284,-3.405535172893251,51.44669931250127,Extend
65630,5,Extend,<<,-1863,-169.05,377,281,364,2.868507515445223,-8.571127072739507,-5.702619557294284,-3.4227332703263835,51.21250594389575,Extend
65644,6,Extend,<<,-1203,-110.86,377,281,364,2.544173585919113,-8.761977732600077,-6.2178041466809635,-3.4227332703263835,51.21250594389575,Extend
65725,4,Extend,<<,-602,-58.46,379,282,363,1.965516388284458,-9.313678259639266,-7.348161871354808,-3.4399455952663325,50.97604408402891,Extend
65739,5,Extend,<<,-1819,-165.19,377,282,362,1.965516388284458,-9.313678259639266,-7.348161871354808,-3.457172147713097,50.737308585882126,Extend
65754,6,Extend,<<,-1155,-106.64,377,279,361,1.6765496898205894,-9.534395746310462,-7.857846056489873,-3.474412927666678,50.49629429818226,Extend
65835,4,Extend,<<,-557,-54.42,378,282,361,0.8478362200388903,-9.877759675198243,-9.029923455159352,-3.474412927666678,50.49629429818226,Extend
65849,5,Extend,<<,-1775,-161.32,377,283,361,0.5629185457828357,-10.16509952628642,-9.602180980503585,-3.474412927666678,50.49629429818226,Extend
65864,6,Extend,<<,-1107,-102.51,378,283,361,0.5629185457828357,-10.16509952628642,-9.602180980503585,-3.474412927666678,50.49629429818226,Extend
65945,4,Extend,<<,-512,-50.37,379,284,362,-0.7576720836624891,-10.589182217665629,-11.346854301328118,-3.457172147713097,50.737308585882126,Extend
65960,5,Extend,<<,-1731,-157.45,379,283,360,-0.7576720836624891,-10.589182217665629,-11.346854301328118,-3.4916679351270745,50.25299606540176,Extend
65974,6,Extend,<<,-1059,-98.37,378,282,360,-0.7576720836624891,-10.589182217665629,-11.346854301328118,-3.4916679351270745,50.25299606540176,Extend
66055,4,Extend,<<,-467,-46.42,380,284,362,-1.8905916353911008,-11.22790539026019,-13.11849702565129,-3.457172147713097,50.737308585882126,Extend
66069,5,Extend,<<,-1687,-153.49,379,284,360,-1.8905916353911008,-11.22790539026019,-13.11849702565129,-3.4916679351270745,50.25299606540176,Extend
66084,6,Extend,<<,-1011,-94.15,378,283,360,-2.202209283810687,-11.471163753796084,-13.67337303760677,-3.4916679351270745,50.25299606540176,Extend
66164,4,Extend,<<,-422,-42.55,378,282,360,-2.811282804243626,-11.737242473496847,-14.548525277740474,-3.4916679351270745,50.25299606540176,Extend
66179,5,Extend,<<,-1643,-149.63,379,283,359,-3.060646167323087,-12.008175504297515,-15.068821671620602,-3.5089371700942875,50.007408727758566,Extend
66193,6,Extend,<<,-963,-89.93,377,284,360,-3.060646167323087,-12.008175504297515,-15.068821671620602,-3.4916679351270745,50.25299606540176,Extend
66274,4,Extend,<<,-377,-38.59,379,284,360,-3.519060930567618,-12.330198804800668,-15.849259735368285,-3.4916679351270745,50.25299606540176,Extend
66289,5,Extend,<<,-1599,-145.76,377,283,360,-3.81490368730932,-12.598948368122448,-16.413852055431768,-3.4916679351270745,50.25299606540176,Extend
66303,6,Extend,<<,-915,-85.71,378,284,358,-3.81490368730932,-12.598948368122448,-16.413852055431768,-3.526220632568316,49.75952712121618,Extend
66384,4,Extend,<<,-332,-34.55,379,284,359,-4.9300959944395375,-13.102896797269374,-18.03299279170891,-3.5089371700942875,50.007408727758566,Extend
66398,5,Extend,<<,-1555,-141.89,380,287,360,-4.9300959944395375,-13.102896797269374,-18.03299279170891,-3.4916679351270745,50.25299606540176,Extend
66413,6,Extend,<<,-867,-81.67,378,283,359,-5.2680872087700585,-13.24528124773358,-18.51336845650364,-3.5089371700942875,50.007408727758566,Extend
66493,4,Extend,<<,-287,-30.68,379,284,361,-5.7450928139076485,-13.53670588436702,-19.28179869827467,-3.474412927666678,50.49629429818226,Extend
66508,5,Extend,<<,-1511,-138.02,378,283,360,-5.7450928139076485,-13.53670588436702,-19.28179869827467,-3.4916679351270745,50.25299606540176,Extend
66522,6,Extend,<<,-819,-77.54,377,284,359,-6.0281043891076544,-13.68294829619634,-19.711052685303994,-3.5089371700942875,50.007408727758566,Extend
66603,4,Extend,<<,-242,-26.81,379,284,362,-6.498401990837422,-14.11085413212546,-20.609256122962883,-3.457172147713097,50.737308585882126,Extend
66618,5,Extend,<<,-1467,-134.15,378,284,361,-6.757199212567157,-14.43483809904364,-21.192037311610797,-3.474412927666678,50.49629429818226,Extend
66632,6,Extend,<<,-771,-73.14,377,282,359,-6.757199212567157,-14.43483809904364,-21.192037311610797,-3.5089371700942875,50.007408727758566,Extend
66713,4,Extend,<<,-197,-22.77,379,285,362,-8.293223066925387,-15.296955872000376,-23.590178938925764,-3.457172147713097,50.737308585882126,Extend
66728,5,Extend,<<,-1423,-130.29,378,285,362,-8.293223066925387,-15.296955872000376,-23.590178938925764,-3.457172147713097,50.737308585882126,Extend
66742,6,Extend,<<,-723,-68.92,378,285,362,-8.293223066925387,-15.296955872000376,-23.590178938925764,-3.457172147713097,50.737308585882126,Extend
66823,4,Extend,<<,-152,-18.81,380,285,363,-9.104673381686094,-15.94147029579225,-25.046143677478344,-3.4399455952663325,50.97604408402891,Extend
66838,5,Extend,<<,-1379,-126.42,380,285,361,-9.104673381686094,-15.94147029579225,-25.046143677478344,-3.474412927666678,50.49629429818226,Extend
66853,6,Extend,<<,-675,-64.62,379,284,364,-9.25623527667836,-16.05900914427301,-25.31524442095137,-3.4227332703263835,51.21250594389575,Extend
66934,4,Extend,<<,-107,-14.77,380,287,367,-9.333126135299384,-16.44523215466779,-25.778358289967173,-3.371181660547433,51.908301142730636,Extend
66949,5,Extend,<<,-1335,-122.64,379,284,367,-9.328338368120887,-16.641819802478018,-25.970158170598907,-3.371181660547433,51.908301142730636,Extend
66964,6,Extend,<<,-627,-60.31,379,284,365,-9.328338368120887,-16.641819802478018,-25.970158170598907,-3.405535172893251,51.44669931250127,Extend
67045,4,Extend,<<,-62,-10.9,380,285,365,-9.544129614707368,-17.294319265345667,-26.838448880053036,-3.405535172893251,51.44669931250127,Extend
67061,5,Extend,<<,-1291,-118.68,380,285,367,-9.544129614707368,-17.294319265345667,-26.838448880053036,-3.371181660547433,51.908301142730636,Extend
